"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","720","test_admin_create_invalid_user","src.tests.ui","Mon Nov 24 11:32:34 UTC 2025","passed","Mon Nov 24 11:32:34 UTC 2025","","test_create_user","",""
"","87","test_create_invalid_user[-4XKp^g1C9g-USER-username-Username cannot be blank]","src.tests.api","Mon Nov 24 11:32:29 UTC 2025","passed","Mon Nov 24 11:32:29 UTC 2025","TestCreateUser","create_user_test","",""
"","331","test_admin_can_login_with_correct_data","src.tests.ui","Mon Nov 24 11:32:36 UTC 2025","passed","Mon Nov 24 11:32:36 UTC 2025","","test_login_user","",""
"","77","test_login_user","src.tests.api","Mon Nov 24 11:32:30 UTC 2025","passed","Mon Nov 24 11:32:30 UTC 2025","TestLoginUser","login_user_test","",""
"","230","test_create_valid_user[create_user_request0]","src.tests.api","Mon Nov 24 11:32:29 UTC 2025","passed","Mon Nov 24 11:32:29 UTC 2025","TestCreateUser","create_user_test","",""
"","77","test_login_admin_user","src.tests.api","Mon Nov 24 11:32:30 UTC 2025","passed","Mon Nov 24 11:32:30 UTC 2025","TestLoginUser","login_user_test","",""
"","903","test_user_can_create_account_by_ui","src.tests.ui","Mon Nov 24 11:32:35 UTC 2025","passed","Mon Nov 24 11:32:35 UTC 2025","","test_create_user_account","",""
"","77","test_create_invalid_user[@john_doe-I0#qJ51nZz-USER-username-Username must contain only letters, digits, dashes, underscores, and dots]","src.tests.api","Mon Nov 24 11:32:29 UTC 2025","passed","Mon Nov 24 11:32:29 UTC 2025","TestCreateUser","create_user_test","",""
"","474","test_user_can_login_with_correct_data","src.tests.ui","Mon Nov 24 11:32:36 UTC 2025","passed","Mon Nov 24 11:32:37 UTC 2025","","test_login_user","",""
"","1007","test_admin_create_user","src.tests.ui","Mon Nov 24 11:32:33 UTC 2025","passed","Mon Nov 24 11:32:34 UTC 2025","","test_create_user","",""
"","78","test_create_invalid_user[qwertyuiopqwerty-VJx5&Df24g-USER-username-Username must be between 3 and 15 characters]","src.tests.api","Mon Nov 24 11:32:29 UTC 2025","passed","Mon Nov 24 11:32:29 UTC 2025","TestCreateUser","create_user_test","",""
"","79","test_create_invalid_user[ab-%1Pi18sApV-USER-username-Username must be between 3 and 15 characters]","src.tests.api","Mon Nov 24 11:32:29 UTC 2025","passed","Mon Nov 24 11:32:29 UTC 2025","TestCreateUser","create_user_test","",""
"","321","test_successful_deposit","src.tests.api","Mon Nov 24 11:32:30 UTC 2025","passed","Mon Nov 24 11:32:30 UTC 2025","TestAccountDeposit","deposit_test","",""
"","329","test_create_account","src.tests.api","Mon Nov 24 11:32:28 UTC 2025","passed","Mon Nov 24 11:32:29 UTC 2025","TestCreateAccount","create_account_test","",""
"","776","test_transfer_successful","src.tests.api","Mon Nov 24 11:32:31 UTC 2025","passed","Mon Nov 24 11:32:32 UTC 2025","TestTransfer","transfer_test","",""
